latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
2.75851,34.16048,295.77,0.74,0.76,2023-10-08,1,1,VIIRS,n,2.0NRT,276.72,2.72,N
5.98286,34.43958,307.59,0.68,0.74,2023-10-08,1,1,VIIRS,n,2.0NRT,287.27,2.53,N
7.14599,30.25261,324.16,0.33,0.56,2023-10-08,1,1,VIIRS,n,2.0NRT,285.05,6.02,N
7.14651,30.24963,355.67,0.33,0.56,2023-10-08,1,1,VIIRS,n,2.0NRT,285.06,4.6,N
7.14703,30.24665,300.65,0.33,0.56,2023-10-08,1,1,VIIRS,n,2.0NRT,282.49,4.6,N
7.1493,30.25656,301.23,0.33,0.56,2023-10-08,1,1,VIIRS,n,2.0NRT,283.3,4.69,N
7.14984,30.25357,367,0.33,0.56,2023-10-08,1,1,VIIRS,h,2.0NRT,284.93,4.69,N
7.15037,30.2506,355.78,0.33,0.56,2023-10-08,1,1,VIIRS,n,2.0NRT,281.78,11.03,N
7.15053,30.2565,313.8,0.33,0.56,2023-10-08,1,1,VIIRS,n,2.0NRT,283.94,6.02,N
7.15105,30.25351,367,0.33,0.56,2023-10-08,1,1,VIIRS,h,2.0NRT,285.71,6.02,N
7.15157,30.25053,325.39,0.33,0.56,2023-10-08,1,1,VIIRS,n,2.0NRT,280.7,4.6,N
7.15435,30.25744,319.57,0.33,0.56,2023-10-08,1,1,VIIRS,n,2.0NRT,282.95,4.69,N
7.15489,30.25447,351.22,0.33,0.56,2023-10-08,1,1,VIIRS,n,2.0NRT,281.87,4.69,N
7.15559,30.2574,338.93,0.33,0.56,2023-10-08,1,1,VIIRS,n,2.0NRT,283.07,3.43,N
7.15611,30.25442,325.05,0.33,0.56,2023-10-08,1,1,VIIRS,n,2.0NRT,280.29,3.43,N
7.15941,30.25834,340.23,0.33,0.56,2023-10-08,1,1,VIIRS,n,2.0NRT,282.41,3.3,N
7.16013,30.26129,313.81,0.33,0.56,2023-10-08,1,1,VIIRS,n,2.0NRT,282.3,4,N
7.16065,30.2583,336.48,0.33,0.56,2023-10-08,1,1,VIIRS,n,2.0NRT,281.37,3.43,N
7.16393,30.26221,300.3,0.33,0.56,2023-10-08,1,1,VIIRS,n,2.0NRT,282.05,3.25,N
7.16447,30.25923,329.96,0.33,0.56,2023-10-08,1,1,VIIRS,n,2.0NRT,281.72,3.3,N
